student_id,study_hours,sleep_hours,prev_score,attendance_pct,final_score,passed
1000,5.61,8.64,59.1,85.2,64.1,1
1001,2.92,8.07,48.3,71.5,47.2,0
1002,6.5,6.14,53.4,99.1,68.4,1
1003,6.88,5.2,70.1,96.1,73.6,1
1004,1.1,3.44,60.0,64.4,33.5,0
1005,2.4,6.35,,74.5,63.0,1
1006,5.26,9.9,70.7,75.7,71.3,1
1007,4.37,7.52,54.0,81.6,51.3,0
1008,4.97,6.33,72.1,94.8,76.5,1
1009,3.29,7.56,66.1,77.1,64.7,1
1010,6.76,5.13,40.2,94.1,49.8,0
1011,6.56,6.64,83.1,95.5,90.8,1
1012,5.13,7.12,52.0,90.1,65.6,1
1013,7.25,6.9,33.5,86.3,59.2,0
1014,5.94,7.95,43.3,81.3,71.4,1
1015,3.28,7.41,43.7,77.5,51.8,0
1016,5.74,7.8,60.8,85.1,66.9,1
1017,3.08,,55.6,82.0,49.1,0
1018,6.76,8.08,54.6,92.2,73.0,1
1019,4.9,8.95,69.9,74.8,72.3,1
1020,4.63,5.84,65.4,76.8,61.8,1
1021,3.64,5.93,65.1,64.4,51.8,0
1022,7.45,8.6,66.6,96.1,78.2,1
1023,4.69,6.77,69.9,82.5,65.3,1
1024,4.14,8.68,26.3,78.6,38.8,0
1025,4.3,6.47,54.2,86.9,47.6,0
1026,6.06,8.75,25.1,96.3,59.7,0
1027,5.73,7.16,60.6,87.8,48.1,0
1028,5.83,7.31,59.9,78.5,67.1,1
1029,5.86,8.88,76.7,92.4,73.2,1
1030,9.28,6.57,79.0,100.0,94.9,1
1031,4.19,5.87,63.2,82.5,56.6,0
1032,3.98,6.46,52.0,84.8,60.3,1
1033,3.37,7.54,67.8,71.0,57.9,0
1034,6.23,5.12,51.6,100.0,63.1,1
1035,7.26,7.76,60.0,91.5,77.4,1
1036,4.77,6.35,75.8,87.6,65.2,1
1037,3.32,8.38,51.1,68.2,61.4,1
1038,3.35,4.13,72.9,72.1,50.8,0
1039,6.3,6.06,70.8,99.1,74.0,1
1040,6.49,4.98,44.7,91.1,65.6,1
1041,6.09,6.01,75.6,94.6,77.3,1
1042,3.67,7.3,71.2,79.5,76.9,1
1043,5.46,,61.6,86.8,59.9,0
1044,5.23,6.7,47.8,93.0,49.5,0
1045,5.44,6.81,46.3,86.0,51.7,0
1046,6.74,7.24,51.4,84.8,70.1,1
1047,5.45,5.79,68.7,83.2,69.8,1
1048,6.36,7.85,44.7,94.5,64.1,1
1049,5.14,7.8,67.0,87.7,60.2,1
1050,5.58,7.46,40.1,80.1,62.3,1
1051,6.26,7.67,56.7,87.7,58.6,0
1052,2.09,7.36,61.8,67.5,61.5,1
1053,4.36,9.44,99.1,80.0,100.0,1
1054,4.06,6.9,38.0,73.4,52.2,0
1055,3.72,6.63,83.6,75.5,71.6,1
1056,4.45,6.1,62.4,78.6,57.0,0
1057,7.99,5.76,66.6,100.0,62.5,1
1058,3.27,5.51,61.9,80.4,51.5,0
1059,6.94,5.93,67.1,94.0,64.0,1
1060,1.63,6.92,57.5,66.2,39.3,0
1061,4.33,7.4,83.3,82.4,83.2,1
1062,5.33,7.06,52.7,82.5,62.9,1
1063,6.17,6.08,78.1,85.1,75.9,1
1064,6.42,8.08,49.7,87.4,63.1,1
1065,6.59,7.89,59.0,89.8,68.5,1
1066,4.3,6.81,42.8,75.7,59.3,0
1067,4.08,6.22,67.3,81.2,61.5,1
1068,6.72,7.66,83.1,97.2,84.3,1
1069,4.62,7.23,58.8,75.2,59.4,0
1070,2.45,5.26,56.8,72.4,47.4,0
1071,2.73,6.92,42.2,72.6,37.2,0
1072,3.16,7.31,56.3,77.5,41.7,0
1073,5.99,5.92,34.5,89.9,52.7,0
1074,5.28,7.23,45.4,79.2,58.1,0
1075,6.38,5.25,63.6,85.6,57.6,0
1076,4.15,8.6,81.1,80.9,71.1,1
1077,5.32,8.5,100.0,91.7,84.3,1
1078,6.25,6.7,50.6,80.2,47.2,0
1079,4.38,7.44,83.0,83.6,65.0,1
1080,5.91,4.11,63.9,95.5,67.3,1
1081,3.68,5.61,57.6,77.6,57.8,0
1082,4.27,6.65,66.9,84.1,55.1,0
1083,4.24,5.71,61.0,77.7,59.6,0
1084,2.61,7.86,61.8,72.4,63.5,1
1085,5.97,9.4,53.5,81.8,72.3,1
1086,4.06,5.59,37.6,68.6,46.4,0
1087,5.02,6.0,35.3,89.8,48.6,0
1088,5.96,,70.5,84.9,66.7,1
1089,5.89,8.93,55.6,87.2,70.6,1
1090,6.33,5.53,50.5,84.7,62.6,1
1091,4.8,7.3,60.1,77.0,66.7,1
1092,4.15,9.19,72.7,79.9,69.5,1
1093,4.84,5.02,62.9,80.6,66.2,1
1094,1.63,5.46,49.5,70.0,44.9,0
1095,2.11,6.49,79.6,72.8,65.7,1
1096,2.35,6.38,85.3,73.4,69.3,1
1097,3.01,7.98,67.9,76.2,55.1,0
1098,5.8,7.29,75.6,96.9,61.3,1
1099,3.19,4.87,79.9,70.6,71.9,1
1100,4.24,7.62,78.1,80.9,70.7,1
1101,7.6,6.31,69.8,100.0,64.1,1
1102,4.29,8.53,69.6,87.8,62.5,1
1103,6.48,6.25,68.3,85.3,75.7,1
1104,3.13,6.24,42.4,74.1,45.7,0
1105,4.59,7.65,71.2,89.7,64.5,1
1106,3.1,7.92,38.3,78.0,58.5,0
1107,4.32,7.54,47.3,82.6,48.9,0
1108,6.68,4.98,80.9,92.3,69.4,1
1109,1.55,7.65,73.4,65.8,58.3,0
1110,5.87,5.76,83.8,90.8,77.4,1
1111,5.48,7.28,55.7,86.1,66.9,1
