customer_id,customer_name,region,signup_year
C001,Customer_1,North,2024
C002,Customer_2,West,2021
C003,Customer_3,East,2022
C004,Customer_4,South,2022
C005,Customer_5,South,2022
C006,Customer_6,West,2021
C007,Customer_7,North,2023
C008,Customer_8,East,2021
C009,Customer_9,North,2023
C010,Customer_10,North,2023
C011,Customer_11,East,2024
C012,Customer_12,West,2023
C013,Customer_13,East,2022
C014,Customer_14,West,2024
C015,Customer_15,East,2022
C016,Customer_16,West,2022
C017,Customer_17,East,2024
C018,Customer_18,North,2022
C019,Customer_19,West,2021
C020,Customer_20,South,2022
C021,Customer_21,East,2024
C022,Customer_22,South,2021
C023,Customer_23,North,2022
C024,Customer_24,West,2021
C025,Customer_25,West,2023
C026,Customer_26,East,2022
C027,Customer_27,South,2022
C028,Customer_28,West,2021
C029,Customer_29,East,2023
C030,Customer_30,South,2023
C031,Customer_31,South,2024
C032,Customer_32,North,2022
C033,Customer_33,North,2021
C034,Customer_34,East,2024
C035,Customer_35,West,2023
C036,Customer_36,North,2023
C037,Customer_37,West,2021
C038,Customer_38,West,2022
C039,Customer_39,South,2024
C040,Customer_40,East,2024
C041,Customer_41,North,2022
C042,Customer_42,West,2024
C043,Customer_43,East,2024
C044,Customer_44,South,2022
C045,Customer_45,North,2024
C046,Customer_46,West,2022
C047,Customer_47,South,2021
C048,Customer_48,West,2023
C049,Customer_49,East,2023
C050,Customer_50,West,2021
C051,Customer_51,North,2024
C052,Customer_52,South,2024
