order_id,date,customer_id,product_id,quantity
O00001,31-10-2024,C999,P019,2
O00002,14-03-2024,C999,P014,1
O00003,21-10-2024,C999,P004,1
O00004,03-01-2024,C999,P003,3
O00005,18-10-2024,C999,P018,4
O00006,15-10-2024,C010,P006,2
O00007,12-10-2024,C013,P016,5
O00008,31-08-2024,C046,P003,2
O00009,21-06-2024,C048,P006,5
O00010,15-09-2024,C003,P006,2
O00011,11-04-2024,C032,P006,3
O00012,12-10-2024,C012,P014,4
O00013,22-07-2024,C010,P019,1
O00014,16-06-2024,C015,P019,5
O00015,04-07-2024,C010,P015,2
O00016,27-07-2024,C025,P005,3
O00017,14-01-2024,C050,P020,4
O00018,21-02-2024,C030,P011,4
O00019,30-03-2024,C037,P011,1
O00020,11-02-2024,C025,P015,5
O00021,09-06-2024,C001,P016,4
O00022,01-09-2024,C005,P020,5
O00023,27-08-2024,C014,P012,3
O00024,21-06-2024,C013,P013,4
O00025,08-11-2024,C043,P015,3
O00026,25-07-2024,C043,P006,5
O00027,29-01-2024,C043,P007,5
O00028,06-10-2024,C032,P013,5
O00029,29-07-2024,C028,P002,3
O00030,20-08-2024,C033,P007,4
O00031,25-07-2024,C021,P015,2
O00032,21-07-2024,C034,P020,3
O00033,03-02-2024,C040,P011,4
O00034,23-07-2024,C039,P008,1
O00035,17-10-2024,C031,P009,4
O00036,21-04-2024,C003,P014,1
O00037,08-08-2024,C037,P011,3
O00038,12-01-2024,C019,P001,3
O00039,07-05-2024,C038,P011,3
O00040,08-06-2024,C027,P009,3
O00041,25-12-2024,C045,P015,3
O00042,19-03-2024,C017,P018,3
O00043,11-04-2024,C047,P020,3
O00044,29-05-2024,C043,P013,3
O00045,29-12-2024,C017,P008,4
O00046,08-11-2024,C025,P009,3
O00047,13-01-2024,C027,P004,4
O00048,26-03-2024,C039,P019,5
O00049,27-10-2024,C035,P017,5
O00050,22-01-2024,C043,P018,1
O00051,09-11-2024,C019,P007,4
O00052,12-04-2024,C026,P007,2
O00053,01-12-2024,C022,P018,1
O00054,17-04-2024,C046,P011,4
O00055,07-06-2024,C016,P015,1
O00056,30-08-2024,C030,P010,5
O00057,16-02-2024,C007,P009,4
O00058,22-07-2024,C043,P013,5
O00059,03-07-2024,C020,P017,4
O00060,13-10-2024,C018,P007,5
O00061,30-12-2024,C030,P017,1
O00062,31-08-2024,C025,P005,5
O00063,29-05-2024,C043,P009,1
O00064,28-05-2024,C027,P019,2
O00065,01-06-2024,C026,P020,1
O00066,24-10-2024,C006,P019,3
O00067,27-04-2024,C002,P007,4
O00068,02-03-2024,C020,P017,2
O00069,02-05-2024,C050,P019,5
O00070,09-01-2024,C046,P020,4
O00071,08-02-2024,C032,P001,4
O00072,02-02-2024,C032,P015,5
O00073,09-10-2024,C020,P020,3
O00074,21-09-2024,C009,P016,2
O00075,12-09-2024,C001,P005,5
O00076,18-06-2024,C017,P016,3
O00077,19-09-2024,C016,P003,4
O00078,29-02-2024,C010,P010,2
O00079,25-11-2024,C013,P013,2
O00080,02-07-2024,C002,P010,1
O00081,09-12-2024,C031,P014,2
O00082,25-02-2024,C047,P005,1
O00083,01-07-2024,C035,P013,4
O00084,11-09-2024,C023,P013,1
O00085,30-06-2024,C022,P013,4
O00086,12-06-2024,C016,P006,5
O00087,01-03-2024,C008,P007,4
O00088,19-05-2024,C030,P006,3
O00089,28-03-2024,C029,P010,1
O00090,20-04-2024,C001,P012,5
O00091,07-09-2024,C021,P008,1
O00092,18-08-2024,C014,P009,4
O00093,10-08-2024,C009,P006,4
O00094,12-05-2024,C036,P005,1
O00095,17-12-2024,C027,P014,4
O00096,02-02-2024,C032,P017,1
O00097,05-05-2024,C036,P006,2
O00098,13-02-2024,C050,P018,5
O00099,04-05-2024,C041,P012,5
O00100,18-12-2024,C032,P004,2
O00101,14-05-2024,C044,P008,5
O00102,28-11-2024,C024,P001,5
O00103,30-06-2024,C050,P001,4
O00104,13-09-2024,C039,P007,1
O00105,16-06-2024,C033,P010,2
O00106,07-04-2024,C046,P016,4
O00107,06-10-2024,C026,P003,5
O00108,20-12-2024,C037,P017,5
O00109,06-04-2024,C015,P005,3
O00110,12-10-2024,C049,P003,2
O00111,05-04-2024,C032,P014,5
O00112,19-09-2024,C040,P016,2
O00113,15-10-2024,C024,P013,2
O00114,13-06-2024,C044,P003,5
O00115,26-09-2024,C004,P003,3
O00116,09-04-2024,C006,P008,2
O00117,30-01-2024,C026,P010,1
O00118,05-02-2024,C037,P020,3
O00119,12-06-2024,C041,P006,5
O00120,26-11-2024,C023,P004,3
O00121,16-02-2024,C033,P019,4
O00122,15-06-2024,C028,P004,2
O00123,14-09-2024,C049,P001,4
O00124,15-03-2024,C033,P009,4
O00125,21-09-2024,C021,P009,4
O00126,21-04-2024,C049,P013,4
O00127,22-10-2024,C006,P018,3
O00128,30-07-2024,C050,P019,2
O00129,19-07-2024,C008,P006,4
O00130,05-03-2024,C015,P020,5
O00131,18-06-2024,C042,P013,5
O00132,09-11-2024,C037,P002,2
O00133,08-01-2024,C049,P019,4
O00134,04-10-2024,C038,P003,1
O00135,29-06-2024,C032,P012,3
O00136,20-09-2024,C018,P016,3
O00137,30-08-2024,C001,P005,2
O00138,07-06-2024,C007,P006,5
O00139,22-04-2024,C015,P010,5
O00140,17-08-2024,C003,P018,1
O00141,21-02-2024,C026,P005,2
O00142,01-08-2024,C039,P014,2
O00143,04-02-2024,C049,P010,5
O00144,25-08-2024,C025,P003,3
O00145,18-08-2024,C044,P015,4
O00146,31-01-2024,C050,P017,5
O00147,04-10-2024,C043,P012,4
O00148,01-06-2024,C024,P004,1
O00149,15-10-2024,C017,P004,1
O00150,16-01-2024,C049,P009,2
O00151,06-03-2024,C013,P011,2
O00152,29-06-2024,C021,P012,4
O00153,09-03-2024,C004,P005,1
O00154,30-04-2024,C040,P011,2
O00155,29-08-2024,C033,P006,2
O00156,22-02-2024,C005,P014,1
O00157,05-09-2024,C012,P016,1
O00158,07-02-2024,C028,P014,1
O00159,05-03-2024,C028,P001,3
O00160,03-08-2024,C041,P020,3
O00161,17-10-2024,C014,P001,3
O00162,03-03-2024,C047,P020,3
O00163,19-04-2024,C023,P001,4
O00164,04-12-2024,C042,P011,5
O00165,28-12-2024,C012,P003,3
O00166,31-07-2024,C002,P002,4
O00167,12-06-2024,C003,P014,4
O00168,06-05-2024,C019,P015,4
O00169,12-08-2024,C048,P003,1
O00170,04-08-2024,C003,P020,5
O00171,17-04-2024,C019,P007,1
O00172,09-01-2024,C006,P007,3
O00173,25-02-2024,C047,P006,4
O00174,16-12-2024,C034,P010,3
O00175,02-06-2024,C039,P004,2
O00176,25-06-2024,C036,P009,5
O00177,19-06-2024,C033,P005,1
O00178,13-10-2024,C039,P002,2
O00179,24-01-2024,C001,P008,5
O00180,31-01-2024,C044,P014,4
O00181,10-04-2024,C037,P016,1
O00182,27-06-2024,C037,P008,4
O00183,02-09-2024,C020,P007,5
O00184,28-06-2024,C041,P016,1
O00185,10-06-2024,C020,P014,3
O00186,09-12-2024,C003,P017,3
O00187,28-02-2024,C046,P019,1
O00188,28-07-2024,C012,P017,2
O00189,17-07-2024,C006,P019,1
O00190,22-06-2024,C032,P009,1
O00191,22-10-2024,C012,P008,3
O00192,07-04-2024,C043,P007,3
O00193,15-12-2024,C023,P005,2
O00194,01-05-2024,C001,P015,2
O00195,18-07-2024,C048,P015,1
O00196,09-07-2024,C026,P017,4
O00197,07-11-2024,C014,P004,2
O00198,09-06-2024,C034,P010,5
O00199,14-04-2024,C027,P005,3
O00200,08-01-2024,C002,P018,5
O00201,13-05-2024,C038,P006,4
O00202,29-10-2024,C021,P003,2
O00203,04-01-2024,C035,P012,4
O00204,23-11-2024,C045,P018,2
O00205,17-07-2024,C031,P019,1
O00206,21-02-2024,C034,P002,2
O00207,20-04-2024,C013,P007,2
O00208,21-07-2024,C012,P004,1
O00209,25-04-2024,C021,P007,1
O00210,09-02-2024,C043,P011,5
O00211,31-08-2024,C027,P006,3
O00212,03-09-2024,C018,P002,3
O00213,13-02-2024,C039,P011,5
O00214,12-04-2024,C043,P002,2
O00215,30-03-2024,C046,P005,3
O00216,29-08-2024,C015,P001,5
O00217,24-09-2024,C036,P002,4
O00218,23-09-2024,C030,P009,2
O00219,09-12-2024,C023,P018,2
O00220,08-10-2024,C020,P016,1
O00221,27-04-2024,C006,P002,1
O00222,09-02-2024,C014,P001,1
O00223,12-08-2024,C028,P007,4
O00224,01-12-2024,C045,P014,4
O00225,22-12-2024,C044,P015,3
O00226,25-03-2024,C010,P017,4
O00227,27-03-2024,C034,P007,1
O00228,14-01-2024,C005,P004,2
O00229,21-02-2024,C034,P001,2
O00230,22-07-2024,C018,P003,5
O00231,19-07-2024,C023,P002,4
O00232,15-05-2024,C036,P018,5
O00233,23-04-2024,C022,P006,2
O00234,30-10-2024,C041,P017,5
O00235,17-06-2024,C027,P012,1
O00236,22-10-2024,C050,P011,2
O00237,18-12-2024,C032,P010,3
O00238,26-04-2024,C015,P017,1
O00239,15-03-2024,C039,P001,5
O00240,14-12-2024,C021,P002,5
O00241,20-08-2024,C027,P009,3
O00242,16-04-2024,C007,P008,2
O00243,15-08-2024,C006,P011,1
O00244,07-07-2024,C029,P015,4
O00245,27-11-2024,C010,P012,3
O00246,03-04-2024,C050,P006,4
O00247,28-12-2024,C043,P007,4
O00248,08-12-2024,C036,P016,1
O00249,07-03-2024,C037,P005,1
O00250,01-03-2024,C030,P011,4
O00251,14-07-2024,C004,P011,1
O00252,17-01-2024,C020,P016,5
O00253,19-04-2024,C025,P015,1
O00254,08-06-2024,C046,P010,4
O00255,20-12-2024,C011,P007,5
O00256,29-12-2024,C025,P008,3
O00257,25-02-2024,C018,P009,1
O00258,22-11-2024,C007,P005,5
O00259,03-02-2024,C006,P013,1
O00260,30-09-2024,C019,P005,3
O00261,05-11-2024,C005,P013,5
O00262,22-11-2024,C004,P016,4
O00263,22-03-2024,C018,P020,1
O00264,23-11-2024,C011,P003,5
O00265,12-02-2024,C028,P016,1
O00266,08-07-2024,C001,P002,4
O00267,20-06-2024,C016,P007,4
O00268,25-04-2024,C023,P004,2
O00269,09-01-2024,C049,P004,3
O00270,09-10-2024,C032,P004,1
O00271,02-05-2024,C045,P001,5
O00272,30-08-2024,C018,P017,2
O00273,30-05-2024,C023,P002,2
O00274,16-05-2024,C022,P008,3
O00275,20-11-2024,C045,P014,4
