Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,Bedrooms,FullBath,GarageCars,LotArea,SalePrice,LotFrontage
1,BrkSide,4,1726,1963,4,1,2,9055,188300,64.0
2,CollgCr,6,2292,1921,5,2,2,12134,267200,42.0
3,BrkSide,5,2063,2001,3,2,2,9699,254400,77.0
4,Edwards,6,2379,1952,4,1,3,16192,230600,
5,NoRidge,8,2339,1996,4,2,2,10937,390200,74.0
6,BrDale,3,1546,1941,3,1,3,8963,156900,73.0
7,Edwards,6,2159,1956,3,2,2,11942,215400,
8,BrkSide,6,2029,1955,4,2,3,16532,218400,81.0
9,Somerst,7,2020,1943,4,3,3,13792,275100,62.0
10,CollgCr,7,2043,1970,3,3,1,12737,265900,74.0
11,NWAmes,5,1513,1988,4,2,2,7010,255400,75.0
12,MeadowV,3,1587,1902,3,2,2,8174,136400,21.0
13,OldTown,3,1407,1916,3,2,1,7339,161300,84.0
14,BrkSide,2,1027,1994,3,2,2,15627,172900,
15,CollgCr,6,1748,1971,4,3,2,14352,243600,82.0
16,Veenker,6,1556,2010,2,3,2,9096,302300,42.0
17,OldTown,4,1962,1968,4,2,2,10948,200500,63.0
18,NoRidge,4,1647,1992,3,3,2,9405,315500,46.0
19,BrkSide,3,1138,2000,4,1,1,8175,131200,
20,OldTown,6,2262,1974,4,2,2,15135,217900,
21,Edwards,4,1423,1938,3,2,1,10839,181900,50.0
22,NWAmes,6,1487,1966,5,3,4,19258,284200,
23,BrDale,2,1617,1925,3,2,0,16610,154000,56.0
24,IDOTRR,6,1792,1936,4,1,2,17167,209900,50.0
25,BrkSide,4,1476,1976,3,3,1,14301,158700,90.0
26,Timber,7,2174,1928,4,2,4,11868,297100,91.0
27,CollgCr,9,2919,1982,4,2,2,16930,339200,86.0
28,StoneBr,10,2707,1984,5,3,3,13193,379900,89.0
29,Somerst,6,1560,1945,3,2,2,17825,280900,65.0
30,Edwards,4,1810,1906,3,1,2,14034,198500,65.0
31,Edwards,4,1450,1979,3,2,3,12818,198300,56.0
32,BrDale,5,2460,1990,4,2,3,14364,212200,74.0
